Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Contirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
10/3 ,,11:25 ,11:40 ,15 min ,,
10/3 ,,11:40 ,11:55 ,15mins ,X ,
10/3 ,,11:57 ,12 pm ,3 mins ,X (open) ,
10/7 ,X ,8.45 ,9 ,15 mins ,X ,
10/7 ,X ,11:57 ,12:05 ,8 mins ,X ,
10/8 ,,8:38 ,8:41 ,3 mins ,X ,
10/8 ,X ,8:41 ,8:49 ,8mins ,X ,
10/8 ,,8:49 ,8:56 ,7 min ,X ,
10/8 ,,8:56 ,9:04 ,8mins ,,
10/8 ,X ,9:11 ,9:26 ,15mins ,X ,
10/8 ,,9:26 ,9:36 ,10 omins ,X ,
10/9 ,X ,8:51 ,8:54 ,3 mins ,X Reflective talk ,
10/9 ,X ,8:55 ,8:58 ,3mins ,X kicking & grabbing ,
10/9 ,X ,9:18 ,9:28 ,10mins ,X ,
10/9 ,X ,10:09 ,10: 13 ,4mins ,X ,
10/q ,X ,10:13 ,10:28 ,15minu ,X ,
10/11 ,X ,9:53 ,9.56 ,3mins ,X ,
10/11 ,X ,9 : 56 ,10:01 ,5mins ,X ,
10/11 ,X ,10:08 ,10: 23 ,ismins ,X ,
10/11 ,,10:25 ,10:36 ,llmins ,X ,
10/11 ,,10:42 ,10:44 ,2minj ,,
10/11 ,,11:13 ,11:23 ,10mins ,,





