Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,
5/8/19 ,,11155 ,12:15 ,20 ,( ,
5/8/19 ,,12:20 ,12:48 ,20 ,/ ,
5/8/19 ,,12:50 ,1:07 ,17 ,O ,
5/15 ,,8:30 ,8:50 ,20 ,\ ,
5110 ,,11:30 ,1150 ,20 ,,
5117 ,,1110 ,11.30 ,20 ,I ,
5117 ,,12:00 ,12115 ,IS ,\ ,
5117 ,,12:20 ,W.40 ,15 ,\ ,
5117 ,,12:41 ,issa ,14 ,\ ,
5/20 ,,12.30 ,12:45 ,IS ,I ,
51d ,,11:10 ,11:25 ,IS ,0 ,
5/21 ,,11.40 ,11:55 ,IS ,\ ,
5122 ,,10:50 ,11:00 ,10 ,I ,
522 ,,11:59 ,12117 ,18 ,1 ,
5/23 ,,11:20 ,11:30 ,10 ,I ,
5/23 ,,11:50 ,11:55 ,5 ,I ,
5/89 ,,9:30 ,9:45 ,IS ,1 ,
5/29 ,,12:30 ,12:45 ,IS ,I ,
5/29 ,,12:55 ,1:15 ,20 ,I ,
5/29 ,,1:20 ,1:35 ,IS ,( ,
5/29 ,,1:40 ,liss ,IS ,I ,
,,,,,,





