Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation =.1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,
6/1/21 ,,8:47 ,8:50 ,3 ,,
6/1/21 ,,8:50 ,9:05 ,15 ,,
6/1/21 ,,9:05 ,9:20 ,15 ,/ ,
6/1/21 ,,9:20 ,9:35 ,15 ,/ ,
6/1/21 ,,9:35 ,9:50 ,15 ,/ ,
6/1/21 ,,9:50 ,10: 10 ,20 ,/ ,
6/1/21 ,,10:10 ,10:25 ,15 ,( ,
6/1/21 ,,10:25 ,10:40 ,15 ,1 ,
6/1/21 ,,10:40 ,10:52 ,12 ,I ,
/ilu ,,10:52 ,11:07 ,15 ,/ ,
6/1/21 ,,11:07 ,11:20 ,13 ,I ,
6/1/21 ,,I'OU ,1.12 ,12 ,/ i :12 7 ,
6/1/21 ,,1:19 ,1:35 ,16 ,I ,
b/1/11 ,,7:50 ,8:10 ,20 ,/ I cleaned ,
6/2/21 ,,8 : 36 ,8:51 ,15 ,/ ,
6/2/21 ,,8:51 ,9:06 ,15 ,) ,
6/2/21 ,,9:06 ,9:21 ,15 ,/ ,
6/7/21 ,,9:21 ,9:34 ,13 ,/ 9:25 nurse ,
6/2/21 ,,9:34 ,9:40 ,6 ,1 snack ,
6/2/21 ,,10:21 ,10:50 ,19 ,/ ,
6/2/21 ,,10:50 ,11:03 ,13 ,I ,
6/2/21 ,,11.21 ,11:36 ,15 ,/ ,





