Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult Interaction needed) ,
4/11 ,Pe ,12:00 ,12:15 ,15 ,\ ,
4/11 ,,12:15 ,12:20 ,5 ,\ ,
4/12 ,,10:00 ,10.15 ,15 ,1 ,
4/12 ,,1015 ,10:30 ,15 ,\ went ,
4/17 ,,11:20 ,11:35 ,15 ,I ,
4/17 ,,11:35 ,11:45 ,10 ,I ,
4/18 ,,10:15 ,10:20 ,5 ,\ ,
4/30 ,,8:35 ,8:40 ,5 ,/ ,
4/30 ,,9:36 ,9:51 ,15 ,1 ,
4130 ,,9:51 ,10:06 ,15 ,\ ,
4/30 ,,10:06 ,10=21 ,15 ,\ ,
4/30 ,,10:21 ,10:36 ,15 ,1 ,
4/30 ,,0:35 ,10:50 ,15 ,) ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





