Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
1/7 ,,10:45 ,10:55 ,10minutes ,door closed ,
1/7 ,,11:05 ,11:15 ,10 minutes ,door closed ,
1/7 ,,11: 17 ,11:30 ,13 minutes ,door closed (fell ,
1/31 ,,1:10 ,1:20 ,10mins ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





