Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total TIme ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
2/13 ,,10:08 ,10:14 ,lomins ,closed ,
2/24 ,,8:45 ,9:00 ,1smins ,closed ,
2/24 ,,9:00 ,9:15 ,15mins ,closed ,
2/24 ,,9:15 ,9:20 ,5mins ,closed ,
2/24 ,,9:20 ,9:35 ,15mins ,closed ,
2/24 ,,9:35 ,9:47 ,12mins ,closed ,
2/24 ,,10:15 ,10:25 ,10mins ,closed ,
2/24 ,,10:25 ,10:35 ,10mins ,closed ,
2/24 ,,10:35 ,10:40 ,Smins ,closed ,
2/24 ,,10:43 ,10:58 ,Smins ,closed ,
2/24 ,,11:00 ,11:15 ,ismins ,closed ,
2/24 ,,11:15 ,11:30 ,15mins ,closed ,
2/24 ,,11:30 ,11:45 ,15mins ,closed ,
2/24 ,,11:45 ,12:00 ,15mins ,closed ,
2/24 ,,12:04 ,12:10 ,6mins ,closed ,
2/24 ,,12:57 ,1:10 ,13 mins ,Closed ,
2/27 ,,10:57 ,11:00 ,3mins ,closed ,
2/27 ,,11:00 ,11:15 ,15mins ,closed ,
2/27 ,,11:15 ,11:25 ,10mins ,Closed ,
2/27 ,,11:25 ,11:32 ,7mins ,closed ,
2/27 ,,1:07 ,1:18 ,llmins ,closed ,
,,,,,,





