Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,
1/22/1 ,,8:20 ,8:40 ,20 ,0 ,
1/22/19 ,,8:50 ,9:10 ,20 ,O . ,
1/22/19 ,,9:40 ,10:00 ,20 ,, Kicking ,
,,1100 ,11.10 ,20 ,1 ,
,,,,,,
,,,1240 ,,D ,
,,,HOO ,90 ,/ ,
,,8:30 ,8,50 ,20 ,D ,
1/23/1 ,,11:40 ,12:00 ,2D ,D ,
1/83/10 ,,12:50 ,1:10 ,20 ,0 ,
1123110 ,,1140 ,1.50 ,10 ,/ ,
104 ,,1.38 ,1:40 ,10 ,O Souch out ,
1/29 ,,11:15 ,11:30 ,IS ,I contripular ,
1.81 ,,10:50 ,1:00 ,10 ,O ,
20 ,,1055 ,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





