Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpase De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult Interaction needed} ,
9/17 ,,951 ,10:00 ,9min ,I ,
9/17 ,a ,10:20 ,10:35 ,15 min ,I ,
9/18 ,,9:10 ,9:25 ,15 min ,\ ,
9/19 ,,8.12 ,8:18 ,le min ,\ ,
9/19 ,,8:25 ,8:35 ,10 min ,I ,
9/19 ,,1:40 ,1:47 ,7min ,\ ,
9/25 ,,9:35 ,9:45 ,10 min ,\ ,
9125 ,,10:15 ,1022 ,7min ,\ ,
9/25 ,,11:35 ,11:50 ,15min ,I ,
9125 ,,1:30 ,1:35 ,5 min ,I ,
9125 ,,1:50 ,2:05 ,15 min ,\ ,
9/26 ,,8:45 ,8:50 ,5 min ,\ ,
9126 ,,9:00 ,9:05 ,5 min ,1 ,
9/26 ,,9:10 ,9:25 ,15 min ,I ,
9/20/20 ,,9:25 ,9:35 ,10 min ,\ ,
9/27 ,,1:00 ,1:10 ,10 min ,\ ,
9/27 ,,1:20 ,1:35 ,15 min ,I ,
9127 ,,1:35 ,1:50 ,15 min ,\ ,
9/27 ,,1:50 ,2:05 ,15 min ,I ,
9128 ,,8:50 ,9:05 ,15 min ,( ,
9128 ,,9:05 ,9:15 ,10 min ,I ,
9128 ,,9:20 ,9:35 ,15 min ,/ ,





