Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation/ with doar apen will he recorded separately, per student plans). ,
1/20 ,,8:34 ,8:44 ,10 min ,closed ,
2/28 ,,8:44 ,8:59 ,15 min ,closed ,
2/27 ,,9:00 ,9:15 ,15 min ,closed ,
2/28 ,,11:20 ,11=35 ,15 min ,closed ,
2/28 ,,11:35 ,11:47 ,12min ,closed ,
2/28 ,,11:54 ,12:09 ,15min ,closed ,
2/28 ,,12:09 ,12:24 ,15min ,closed ,
2/28 ,,12:24 ,12:32 ,Smin ,closed ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





