Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult interaction needed) ,
2/4/20 ,,11:15 ,11:20 ,5 ,0 ,
2/4/20 ,,12.16 ,12:20 ,4 ,I ,
2/12/20 ,,1:10 ,lill ,\ ,D calmed quick ocun ,
2/13/20 ,,9:05 ,9:20 ,15 ,,
2/13/20 ,,9:51 ,10:00 ,9 ,I ,
2/24/20 ,,10i45 ,IIOO ,15 ,I ,
2/25/20 ,,8:35 ,8:65 ,20 ,I chromebook Threw ,
2A54 ,,9.40 ,ars ,S ,0 Apenani ,
2/25/20 ,,12:12 ,12.20 ,8 ,I ,
212500 ,,12:35 ,155 ,20 ,i ,
2/25/20 ,,1:05 ,1:20 ,15 ,| ,
206 ,,8,20 ,8:30 ,10 ,I ,
2/26 ,,8:35 ,8:50 ,15 ,I ,
2/27 ,,9:08 ,9:28 ,20 ,I shoved teacher ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





