Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult interaction needed) ,
2/5/19 ,,1:15 ,11:20 ,5 ,/ Threw mate into student ,
2/6/19 ,,11:50 ,12:00 ,10 ,0 ,
2/6/19 ,,12:30 ,12:35 ,5 ,0 ,
2/7/19 ,,3:30 ,8:45 ,IS ,I ,
2/7/19 ,,10:15 ,10:30 ,IS ,\ ,
2171P ,,11:00 ,11:05 ,5 ,0 ,
2/8/19 ,,8;us ,9:00 ,IS ,1 ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





