Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult interaction needed) ,
11/1 ,,10:20 ,10:24 ,4min ,1 ,
11/1 ,,10:55 ,11:10 ,15 ,\ ,
11/1 ,,11:11 ,11:26 ,15 ,1 ,
11/1 ,,11:26 ,11:45 ,15 ,1 ,
11/1 ,,11:45 ,11:55 ,10 min ,1 ,
11/1 ,,1:55 ,2:00 ,5 min ,\ ,
11/7 ,,9:35 ,9:42 ,7min ,\ ,
11/7 ,,9:55 ,10:10 ,15min ,1 ,
11/7 ,,10:30 ,10:42 ,12 min ,! ,
11/13 ,,10:10 ,10:25 ,15 ,I ,
11/13 ,,10:25 ,10:27 ,2 ,I ,
11/13 ,,10:30 ,10:40 ,10 ,I ,
11/14 ,,9:40 ,9:47 ,7 ,\ ,
11/14 ,,10:25 ,10:40 ,15 min ,\ ,
11/14 ,,10:40 ,10:55 ,is min ,\ ,
11/14 ,,10:55 ,11:10 ,15 min ,\ ,
11/14 ,,11:40 ,11:55 ,15 min ,I ,
11/14 ,,11:55 ,12:05 ,10 min ,I ,
11/14 ,,12:10 ,12:20 ,10 min ,I ,
11/14 ,,12:21 ,12:35 ,14 min ,L ,
11/14 ,,2:15 ,222 ,7 min ,\ ,
,,,,,,





