Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,
10/12 ,,10:30 ,10:45 ,15 min ,1 ,
10/12 ,,10:45 ,10:55 ,10 min ,\ ,
10 /12 ,,11:10 ,11:25 ,15 min ,\ ,
10/12 ,,11:25 ,11:35 ,16 min ,\ ,
10/12 ,,12:45 ,1:00 ,15 min ,I ,
10/12 ,,1:00 ,1:10 ,10 min ,\ ,
10/15 ,,8:00 ,8:15 ,15 min ,1 ,
10/15 ,,8:15 ,8:25 ,10 min ,1 ,
10/15 ,,8:25 ,8:40 ,15 min ,1 ,
10/15 ,,8:55 ,9:10 ,15 min ,I ,
10/15 ,,9:10 ,9:15 ,5 min ,1 ,
10/15 ,,9:50 ,10:05 ,15 min ,I ,
10/15 ,,10:05 ,10:10 ,5 min ,I ,
10/15 ,,10:15 ,10:30 ,15 min ,I ,
10/15 ,,10:30 ,10:40 ,10 min. ,1 ,
10/16 ,,8:45 ,9:00 ,15 min ,1 ,
10/16 ,,9:00 ,9:03 ,3 min ,1 ,
10/16 ,,9:15 ,9:30 ,15 min ,l ,
10/16 ,,12:15 ,12:30 ,15 min ,1 ,
10/16 ,,12:30 ,12:37 ,7 min ,1 ,
10/16 ,,12:50 ,1:05 ,15 min ,\ ,
10/16 ,,1:05 ,1:20 ,15 min ,\ ,





