Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult Interaction needed) ,,
4/1/19 ,,9:45 ,10:00 ,15 ,/ ,,
,,10:00 ,10:10 ,10 ,/ ,,
4/3/19 ,,9:15. ,9:30 ,15 ,/ ,,
,,9:30 ,9:45 ,15 ,/ ,,
,,9:45 ,10:00 ,15 ,/ ,,
,,10:00 ,10:10 ,10 ,/ ,,
4/3/19 ,,1:45 ,2:00 ,15 ,/ ,,
,,2:00 ,2:15 ,15 ,/ mom pick ,,
4/4 ,,10:58 ,11:13 ,15 ,/ ,,
,,11:30 ,11:45 ,15 ,/ ,,
,,11:45 ,12:00 ,15 ,/ ,,
,,12:00 ,12:15 ,15 ,J ,,
,,12:15 ,12:30 ,15 ,/ ,,
4/4 ,,12:30 ,12:40 ,10 ,/ mom pick ,,
4/10 ,,95S ,10:10 ,15 ,I ,,
4/10 ,,10:10 ,10:15 ,J ,( ,,
4/10 ,,10.25 ,10:40 ,15 ,/ ,,
4/16 ,,12:45 ,11:53. ,8 ,1 ,,
4/11 ,,11:00 ,11:15 ,15 ,1 ,,
4/11 ,,11:15 ,11:30 ,15 ,I ,,
4/11 ,,11:30 ,11:45 ,15 ,I ,,
4/11 ,,11:45 ,12:00 ,15 ,\ ,,





