Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,
113 ,,10:30 ,10:45 ,15 ,Kicking to ,
13 ,,1:00 ,1.20 ,20 ,/ ,
114 ,,7:50 ,8:05 ,IS ,O ,
114 ,,9:05 ,9.70 ,15 ,0 ,
118 ,,9.40 ,10:00) ,00 ,Not following appetribledeis ,
1110. ,,8:30 ,8:40 ,10 ,kicked walks ,
1111 ,,10:30 ,10:40 ,10 ,0 ,
1/14 ,,9:48 ,9.51 ,3 ,O ,
I/NS ,,145-18 ,155 ,ID ,0 ,
1115 ,,9:15 ,9:30 ,IS ,O ,
115 ,,11:15 ,11:25 ,10 ,0 ,
1/16 ,,19.51 ,1010 ,10 ,D ,
HI ,,8:50 ,9:00 ,10 ,I ,
1/18 ,,8:15 ,8:25 ,10 ,I ,
1/18 ,,9:18 ,9:30 ,12 ,I ,
1118 ,,10:01 ,10:19 ,18 ,0 ,
1/18 ,,10:30 ,10.40 ,10 ,I ,
1/18 ,,11:40 ,11:55 ,15 ,/ ,
1118 ,,12:10 ,12:18 ,8 ,0 ,
1118 ,,12:35 ,12:45 ,16 ,I ,
1118 ,,1:05 ,1:20 ,15 ,I ,
,,,,,,





