Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
1/23 ,,9:39 ,9:42 ,3mins ,open ,
1/23 ,,9:42 ,9:52 ,10mins ,closed ,
1/23 ,,10:09 ,10:24 ,15mins ,closed ,
1/23 ,,10:24 ,10:34 ,10mins ,open ,
1/27 ,,9:20 ,9:30 ,10mins ,open ,
1/27 ,,9:30 ,9.45 ,15mins ,open ,
1/27 ,,9:45 ,10:00 ,15mins ,closed ,
1/31 ,,70:48 ,10:51 ,3mins ,open ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





