Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,
1011 ,,8:35 ,8:50 ,IS ,I ,
1012 ,,8:50 ,9.10 ,20 ,1 ,
1015 ,,8:30 ,8 40 ,10 ,/ ,
1015 ,,9:10 ,9ils ,5 ,O ,
1019 ,,8:20 ,8:30 ,10 ,i ,
10110 ,,8:55 ,9:08 ,13 ,/ ,
10/12 ,,8:35 ,8:40 ,5 ,I ,
10/12 ,,9:30 ,9:50 ,20 ,I ,
0112 ,,12:05 ,12:20 ,is ,I ,
10115 ,,9.40 ,9:55 ,15 ,i. ,
0115 ,,10:20 ,10:35 ,IS ,I ,
10115 ,,11.10 ,11:25 ,is ,1 ,
10/15 ,,1:50 ,2:05 ,15 ,I ,
10116 ,,8:30 ,8:35 ,5 ,0 ,
10llb ,,8:50 ,8:55 ,5 ,O ,
10116 ,,10.30 ,10.45 ,IS ,1 ,
10116 ,,11:00 ,11:20 ,20 ,/ ,
10/16 ,,11:40 ,12.00 ,20 ,1 ,
10116 ,,12:20 ,12:40 ,20 ,I ,
10117 ,,8:45 ,9:00 ,IS ,i ,
10/17 ,,11:20 ,11:30 ,20 ,\ ,





