Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult Interaction needed) ,
4/15 ,,9:50 ,10:05 ,15 ,\ ,
4/15 ,,10:05 ,10:20 ,15 ,\ ,
4/15 ,,10:20 ,10:25 ,5 ,\ ,
4/15 ,,10:2u ,10:30 ,4 ,\ ,
4/15 ,,10:30 ,10:45 ,15 ,\ ,
4/16 ,,10:30 ,10:45 ,15 ,I ,
4/16 ,,10:45 ,11:00 ,15 ,/ ,
4/16 ,,11:00 ,11:10 ,10 ,I ,
Allu ,,1:06 ,1:10 ,4 ,I ,
4/16 ,,P:ID ,1:25 ,15 ,\ ,
4/14 ,,1:25 ,1:40 ,15 ,) ,
4/16 ,,1:40 ,1:51 ,11 ,1 ,
4/30 ,,1:22 ,1.37 ,15 ,\ ,
4/30 ,,1:37 ,1:52 ,15 ,( ,
4/30 ,,1:52 ,2:00 ,8 ,/ ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





