Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult Interaction needed) ,
1/3/19 ,,12:31 ,12:45 ,14 ,X ,
1/4/19 ,K ,11:05 ,11:20 ,15 ,,
1/4/19 ,,H:20 ,11:35 ,15 ,\ ,
1/4/19 ,,11:35 ,11:50 ,15 ,\ ,
1/4/19 ,,11:50 ,12:05 ,15 ,\ ,
1/11/19 ,,12:05 12:20 ,12:20 ,15 ,\ ,
1/4/19 ,,12:20 ,12:35 ,15 ,1 ,
1/7/19 ,,12:10 ,12:20 ,10 ,\ ,
1/7/19 ,,12:45 ,1:00 ,15 ,1 ,
1/7/19 ,,1:00 ,1:15 ,15 ,1 ,
17/19 ,,1:15 $25 ,1:28 ,13 ,1 ,
1/7/19 ,,1:35 ,1:50 ,15 ,\ ,
1/7/19 ,,1:50 ,2:00 ,10 ,1 ,
1/9/19 ,,9:08 ,9:20 ,12 ,1 ,
1/9/19 ,,9:30 ,9:35 ,15 ,/ ,
1/9/19- ,,9:35 ,9:50 ,15 ,/ ,
1/9/19 ,,10:05 ,10:20 ,15 ,I ,
1/1/19 ,,1150 ,2:00 ,10 ,/ ,
1/14/19 ,,9:00 ,9:05 ,5 ,1 ,
1/14/19 ,,1:10 ,1:14 ,4 ,) ,
1/16/19 ,,9:35 ,9:38 ,3 ,/ ,
1/16/18 ,,9.48 ,9:57 ,9 ,/ ,





