Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,
11/2 ,,10:02 ,10:15 ,13min ,1 ,
11/7 ,,7:35 ,7:45 ,10min ,I ,
11/7 ,,11:00 ,11:05 ,5min ,1 ,
n/7 ,,11:20 ,11:35 ,15mm ,I ,
11/7 ,,11:35 ,11:40 ,5min ,/ ,
11/8 ,,11:25 ,11:40 ,15mli ,1 ,
11/8 ,,1:50 ,1:55 ,5 min ,) ,
11/27 ,,1.20 ,1:24 ,4 min ,\ ,
11/27 ,,1:50 ,1:58 ,8 min ,1 ,
11/29 ,,1:30 ,1:45 ,15 min ,1 ,
11/29 ,,1:45 ,1:57 ,12 min ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





