Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
3/9/19 ,,11:47 ,11:50 ,3mins ,X ,
2/4/19 ,,2/10/30 ,143 ,/ 3mins. ,X ,
2/4/19 ,,1:50 ,2:00 ,10mins. ,X ,
2/15/19 ,,9:47 ,9:55 ,Smins ,X ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





