Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation =-1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,
3/18/21 ,,9:57 ,10: 12 ,15 ,/ ,
3/18/21 ,,10:12 ,10:15 ,3 ,0 ,
3/18/21 ,,010:47 ,11: 00 ,13 ,/ ,
3/18/21 ,,11:15 ,11:26 ,11 ,/ ,
3/23/21 ,,11:12 ,11:27 ,15 ,/ ,
3/23/21 ,,11:27 ,11:33 ,6 ,/ ,
3/30/21 ,,10:19 ,10:29 ,10 ,/ ,
3/31/21 ,,9:05 ,9:17 ,12 ,| ,
3/31/21 ,,10:05 ,10:12 ,7 ,/ ,
2/31/21 ,,10:48 ,10:57 ,9 ,/ ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





