Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
11/1 ,X ,848 ,849 ,\ ,open ,
11/1 ,X ,849 ,850 ,I ,closed ,
11/1 ,X ,851 ,85553 ,42 ,open ,
11/1 ,X ,853 ,858 ,5 ,closed ,
11/1 ,X ,2 18 ,220 ,2 ,X V ,
11/1 ,X ,2 21 ,224 ,3 ,X ,
11/4 ,X ,833 ,8 40 ,7 ,X ,
11/1 L ,X ,,8 45 ,2 ,X ,
11/6 ,X ,,1025 ,15 ,,
11/7 ,X ,,1009 ,5 ,,
17 ,X ,,100 ,10 ,X ,
11/13 ,X ,1121 ,1126 ,S ,X ,
11/13 ,X ,1239 ,1243 ,6 ,X ,
11/13 ,X ,12"3 43 ,12 48 ,2. ,,
11/14 ,X ,10"4 ,10sl ,4 ,X ,
11/15 ,X ,$37 ,840 ,3 ,X ,
11 / 20 ,X ,I 31 ,1136 ,5 ,X ,
122 ,X ,159 ,,2 ,X ,
11/22 ,X ,, 02 ,206 ,3 ,,
11/25 ,X ,818 ,818 ,,,
11/15 ,X ,827 ,831 ,,X ,
who ,X ,1108 ,11'15 ,7 ,X ,





