Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door apen will be recorded separately, per student plans). ,
11/25 ,,11172 ,11 28 ,i ,,
11/25 ,,12th ,125.1 ,4 ,X L ,
11/25 ,,202 ,zon ,2 ,X ,
11 / 25 ,X ,206 ,2" ,5 ,X ,
11/29 ,,2'4 ,21 ,5 ,X ,
11 / 25 ,X ,727 ,2.28 ,6 ,X ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





