Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,
9112 ,,11:00 ,11:15 ,15 ,I Kicking staff ,
9112 ,,12,15 ,1230 ,15 ,I Reamitting Trashing ,
9113 ,,12:45 ,1:00 ,15 ,I kiching staff ,
9125 ,,855 ,9:15 ,20 ,I kicking/hitting ,
9128 ,,11:15 ,11:25 ,10 ,1 calm down ,
10/10 ,,1013 ,10:18 ,5 ,0 ,
10111 ,,10:10 ,10:20 ,10 ,I ,
10125 ,,12:40 ,1:00 ,20 ,I Pushing Staff ,
10/29 ,,12:45 ,1:00 ,15 ,1. HITTING staff ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





