Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult Interaction needed) ,
10/5 ,,8:05 ,8:15 ,10 min ,I ,
10/5 ,,8:45 ,8:55 ,10 min ,\ ,
10/5 ,,10:10 ,10:25 ,15 min ,\ adult I slapped ,
10/5 ,,10:25 ,10:40 ,15 min ,\ ,
10/5 ,,10:40 ,10:55 ,15 min ,I ,
10/5 ,,10:55 ,11:15 ,15 min ,\ ,
10/5 ,,11:15 ,11:25 ,10 min ,I ,
10/5 ,,11:30 ,11:45 ,15 min ,I ,
10/5 ,,11:50 ,12:00 ,is min ,\ ,
10/5 ,,12:05 ,12:20 ,15 min ,\ ,
10/5 ,,12:20 ,12:35 ,15 min ,( ,
10/5 ,,12:35 ,12:50 ,15 min ,I ,
10/10 ,,8:27 ,8:40 ,13 min ,I ,
10/10 ,,8:40 ,8:55 ,15 min ,\ ,
10/100 ,on ,9:25 ,9:30 ,5 min ,\ ,
10/10 ,,9:30 ,9:40 ,10 min ,\ ,
10/10 ,,9:41 ,9:55 ,14 min ,\ ,
10/12, ,,8:25 ,8:35 ,10 min ,\ ,
10/12 ,,8.45 ,8:55 ,13 min ,\ ,
10/12 ,,9:12 ,9:20 ,S min ,\ ,
10/12 ,,9:20 ,9:35 ,15 min ,\ ,
10/12/19 ,,9:35 ,9:45 ,10 min ,1 ,





