Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult interaction needed) ,
915 ,,10130 ,10:45 ,15 ,I ,
916 ,,9:45 ,10:05 ,20 ,I ,
9116 ,,11:10 ,11:30 ,20 ,1 ,
916 ,,12:55 ,1:10 ,15 ,I ,
919 ,,9:15 ,9:30 ,K ,/ ,
919 ,,9:45 ,10:00 ,15 ,I ,
919 ,,12:10 ,12:20 ,10 ,0 ,
919 ,,12:50 ,1:00 ,10 ,1 ,
9/9 ,,1:10 ,1:25 ,IS ,/ ,
9110 ,,9:20 ,9:25 ,5 ,0 ,
9111 ,,8.55 ,9:00 ,5 ,/ kicked ,
711 ,,9:15 ,9:35 ,20 minutes ,0 ,
all ,,10:35 ,10:45 ,10 ,0 ,
9111 ,,11.40 ,11150 ,10 ,I ,
9111 ,,12:25 ,12 $ ,20 ,/ spitting or ,
9/12 ,,8:25 ,830 ,5 ,O ,
9/12 ,,9:05 ,9.10 ,5 ,3 ,
9/12 ,,11:00 ,11:15 ,IS ,1 ,
9/12 ,,11:35 ,11:41 ,6 ,/ Shoving door ,
9116 ,,9:21 ,9:31 ,10 ,0 ,
allb ,,11:40 ,11:50 ,10 ,1. ,
911b ,,12:41 ,12:51 ,10 ,I punched me in face ,





