Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult Interaction needed) ,
9/7 ,,10:50 ,11:05 ,15 min ,1 ,
9/12 ,,10:33 ,10:45 ,12 min ,1 ,
9/14 ,,1:05 ,1:10 ,5 min ,1 ,
9/17 ,,10:00 ,10:15 ,15 min ,\ ,
9/17 ,,10:15 ,10:20 ,5 min ,) ,
9/17 ,,12:55 ,1:10 ,15 min ,1 ,
9/18 ,,11:40 ,11:55 ,15 min ,\ ,
9/24 ,,1:44 ,1:52 ,8 min ,1 ,
9/25 ,,12:10 ,12:25 ,15 min ,1 ,
9/25 ,,12:25 ,12:35 ,10 min ,\ ,
9/25 ,,12:35 ,12:50 ,15 min ,\ ,
9/25 ,,12:50 ,1:05 ,15 min ,\ ,
9/25 ,,1:05 ,1:20 ,15 min ,1 ,
9/25 ,,1:35 ,1:50 ,15 min ,\ ,
9/27 ,,10:15 ,10:30 ,15 min ,\ ,
9/28 ,,12:37 ,12:50 ,13 min ,I ,
9/28 ,,12:50 ,1:00 ,10 min ,1 ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





