Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation, / with door open will be recorded separately, per student plans). ,
12/3 ,,11:05 ,11:17 ,12 mins ,X ,
12/7 ,X ,9:16 ,9:18 ,2 mins. ,X ,
12/1 ,X ,1:00 ,1:15 ,15mins. ,X ,
12/7 ,X ,1:15 ,1:30 ,15 mins. ,X ,
12/7 ,X ,::30 ,1:45 ,15mins. ,X ,
12/10 ,X ,12:58 ,1:05 ,7mins. ,X ,
12/12 ,X ,9:20 ,9:28 ,8mins. ,X ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





