Table: Table_1

Date ,Program ,Behavior ,TOR ,Restraint ,Comments ,
7/10/19 ,CIP1 (summer) ,shoved chair at student ,,x ,,
7/17/19 ,CIP1 (summer) ,flipped desk, hit, pinched, head butted ,,X x ,,
9/5/19 ,TLC2 ,Student requested TOR ,X x ,,1 ,
9/5/19 ,TLC2 ,Student requested TOR ,X x ,,2 ,
9/6/19 ,TLC2 ,swiping materiais, throwing things, flipped desk ,,X x ,3 ,
9/9/19 ,TLC2 ,Student requested TOR ,X x ,,4 ,
9/11/19 ,TLC2 ,Student requested TOR ,X x ,,5 ,
9/11/19 ,TLC2 ,throwing books & bins ,X x ,,6 ,
9/12/19 ,TLC2 ,screaming, trying to knock down chairs ,X x ,,7 ,
9/12/19 ,TLC2 ,throwing things ,X x ,,8 ,
9/11/19 ,TLC2 ,head butting, biling ,,x ,9 ,
9/13/19 ,TLC2 ,throwing objects, tipping chairs, swearing, screaming ,X x ,,10 ,
9/13/19 ,TLC2 ,throwing things, kicking desks, shoving adults ,,transport ,11 ,
9/16/19 ,TLC2 ,throwing things, kicking, biting. punching ,X x ,,12 ,
9/17/19 ,TLC2 ,tipping desk, pinching, hitling, punching ,,X x ,13 ,
9/17/19 ,TLC2 ,student requested TOR ,X x ,,14 ,
9/20/19 ,TLC2 ,slapped psych across the face ,,transport ,15 ,
9/24/19 ,TLC2 ,student requested TOR ,X X ,,16 ,
9/25/19 ,TLC2 ,kicking, biling, ripping leachers' clothing, punching throwing lhings, swearing ,,,17 ,
9/30/19 ,TLC2 ,student requested TOR ,X x ,,18 ,
9/30/19 ,TLC2 ,slamming chair ,,,19 ,
10/2/19 ,CIP2 ,running throughout the school ,,X X ,1 ,
10/2/19 ,TLC2 ,screaming, kicking objects, attacking peer, punching/kicking ,,,20 ,
10/11/19 ,TLC2 ,biting ,X X ,,21 ,
10/11/19 ,CCC2 ,slapped teacher across the face ,,x ,1 ,
10/17/19 ,TLC2 ,throwing objects ,X x ,transport ,22 ,
10/18/19 ,CIP2 ,kicking, punching, biling ,X x ,,2 ,
10/21/19 ,CCC2 ,throwing chair ,,x ,2 ,
10/23/19 ,CIP2 ,throwing items, punched staff in face and stomach ,,x ,3 ,
10/28/19 ,CIP2 ,hit student with purse, biling. hitting, screaming ,,x ,4 ,
10/29/19 ,TLC2 ,student requested TOR ,X X ,,23 ,
10/30/19 ,TLC2 ,student requested TOR ,X x ,,24 ,
10/30/19 ,TLC2 ,disruptive behavior in class ,X X ,transport ,25 ,
10/30/19 ,TLC2 ,student requested TOR ,X x ,,26 ,
10/30/19 ,TLC2 ,student requested TOR ,X X ,,27 ,
10/31/19 ,TLC2 ,Screaming in hallway ,X x ,transport ,28 ,
10/31/19 ,CCC2 ,Throwing furniture ,,x ,3 ,
10/31/19 ,CCC2 ,Throwing furniture ,,X x ,4 ,
10/31/19 ,TLC2 ,Student requested TOR ,X x ,,29 ,
11/4/19 ,TLC2 ,Student requested TOR ,X x ,,30 ,
11/5/19 ,TLC2 ,Student requested TOR ,X x ,,31 ,
11/5/19 ,TLC2 ,Student requested TOR ,X x ,,32 ,
11/6/19 ,TLC2 ,Student requested TOR ,X x ,,33 ,
11/6/19 ,TLC2 ,Student requested TOR ,X x ,,34 ,
11/6/19 ,TLC2 ,Student requested TOR ,X x ,,35 ,
11/6/19 ,TLC2 ,Student requested TOR ,X ,,36 ,





