Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
11/5 ,,10:00 ,10:30 ,30 ,closed ,
11/5 ,,10:30 ,11:00 ,30 ,Closed ,
11/5 ,,11:00 ,11:30 ,30 ,Closed ,
1115 ,,11:30 ,11:32 ,2 ,Closed > opened whenhefell ,
11/5 ,,11:59 ,12:09 ,10 ,closed ,
11 15 ,,12:21 ,12:51 ,30 ,closed ,
1118 ,,9:30 ,10:00 ,30 ,closed ,
11/8 ,,10:00 ,10:30 ,30 ,closed ,
11/8 ,,1:15 ,1:45 ,30 ,closed ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





