Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult Interaction needed) ,
2/6/20 ,,1:25 ,1:40 ,15min ,/ ,
2/16/20 ,,1:40 ,1:51 ,11 min ,/ ,
2/7/20 ,,10:07 ,10:21 ,14min ,/ ,
2/7/20 ,,1:45 ,1:54 ,9 min ,1 ,
2/11/20 ,,11:15 ,11:30 ,15 ,/ ,
2/11/20 ,,11:30 ,11:45 ,15 ,/ ,
2/24/20 ,,10:32 ,10:47 ,15 ,/ ,
2/24/20 ,,10:47 ,11:02 ,15 ,/ ,
2/24/20 ,,11:02 ,11:10 ,8 ,/ ,
07 / 4 / 20 ,,11:10 ,11:14 ,4 ,O ,
2/26/20 ,,8:39 ,8.54 ,15 ,/ ,
2/25/20 ,,8:54 ,9:09 ,15 ,/ ,
2/20/20 ,,9.09 ,9:13 ,4 ,/ ,
2/28/20 ,,12:48 ,1:04 ,15 ,I ,
2/28/00 ,,1:04 ,1:05 ,/ ,O ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





