Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult interaction needed) ,
3/1 ,,11:25 ,11:40 ,15 ,1 ,
3/1 ,,11:40 ,11:55 ,15 ,1 ,
3/5 ,,12:48 ,1:03 ,15 ,I ,
3/5 ,,1:03 ,1:18 ,15 ,/ ,
3/5 ,,1:18 ,1:33 ,15 ,/ ,
3/5 ,,1:38 ,1:53 ,15 ,/ ,
3/5 ,,1:53 ,2:00 ,7 min ,/ ,
3/14 ,,8:40 ,8:55 ,15 ,I ,
3/14 ,,9:50 ,10:00 ,11 ,I ,
14 ,,10:47 ,10:50 ,7 ,/ ,
3/15 ,,8:40 ,8 :55 ,15 ,I ,
3/15 ,,8:55 ,9:10 ,15 ,I ,
3/15 ,,9:10 ,9:25 ,15 ,) ,
3115 ,,9:25 ,9:30 ,5 ,) ,
3/18 ,,12:20 ,12:35 ,15 ,I ,
3118 ,,12:35 ,12:50. ,15 ,/ ,
3/18 ,,12:55 ,1:10 ,15 ,1 ,
3/21 ,,9:05 ,9:20 ,15 ,1 ,
3/22 ,,8.25 ,8:40 ,15 ,\ ,
3/22 ,,8:40 ,8:55 ,15 ,1 ,
3/22 ,,8:55 ,9:10 ,15 ,1 ,
3/22 ,,9:10 ,9:25 ,15 ,1 ,
,,,,,,





