Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door apen will be recorded separately, per student plans). ,
9/27/19 ,,12:11 ,12:26 ,15mins ,X ,
9/10/19 ,,1/:01 ,11:10 ,amins ,,
9/20/19 ,,9:05 ,9:10 ,15mins ,,
9/20/19 ,,9:20 ,9:35 ,15 mins ,X ,
9/20/19 ,,9:42 ,9:57 ,15 mins ,X ,
9/20/19 ,,10:09 ,10:19 ,10mins ,X ,
9/20/19 ,,10:20 ,10:35 ,Ismins ,X V ,
9/24/19 ,,9:57 ,10:07 ,10mins ,X ,
9/24/19 ,,10:32 ,10=47 ,15mins ,X ,
9/24/19 ,,10:49 ,11:04 ,15mins. ,X ,
9/24/18 ,,11:06 ,11: 15 ,9 mins ,X ,
9/24/19 ,,11:25 ,11:28 ,3 mins ,,
9/27/19 ,,11:05 ,11:15 ,10mins ,X ,
9/27/19 ,,11:15 ,11-30 ,15mins ,X ,
9/27/19 ,,11:30 ,11:41 ,llmins ,X ,
9/27/19 ,,11:47 ,11:51 ,4mins ,X ,
9/27/19 ,,11:55 ,12:00 ,5mins ,X ,
9/27/19 ,,12:00 ,12:09 ,9mins. ,,
9/27/19 ,,12:26 ,12:31 ,5mins ,X ,
9/27/19 ,,1:03 ,1:09 ,lemin ,,
9/27/19 ,,1:09 ,1:12 ,3min ,,
9/27/19 ,,1:13 ,1:17 ,4min ,,





