Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
12/21 ,,8:20 ,8:25 ,5mins. ,X ,
12/21 ,,9:06 ,9: 10 ,4mins. ,,
12/13 ,,10:55 ,11:10 ,15mins. ,X ,
12/13 ,,10:00 ,10:15 ,15mins. ,X ,
12/14 ,X ,10:00 ,10:15 ,1mins ,X ,
12/14 ,X ,9:45 ,10:00 ,15mins. ,X ,
12/14 ,,10:30 ,10:40 ,10mins. ,X ,
12/14 ,,11:53 ,12:00 ,7mins. ,X ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





