Table: Table_1

Date ,Student ,Staff ,Time In ,Time out ,Total time ,Door open/closed ,
12-4 - ,,,9:35 ,9:45 ,10mms ,Closed ,
12-u ,,,11:20 ,13:30 ,10mins ,Closed. ,
12-4 ,,,1.05 ,i.20 ,1 5mins. ,Clanel ,
12111 ,,,12:40 ,1pm ,20ming. ,closed ,
12/14 ,,,11:58 ,12:08 ,10mins ,Closed ,
1275 ,,,8:30 ,8.25 ,15mins ,clonel. ,
12-20 ,,,1:30 ,1:90 ,10mans ,closed ,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,





