Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult Interaction needed) ,,
3/6 ,,9:35 ,9:50 ,15 ,/ ,,
3/6 ,,9:50 ,1905 ,15 ,I ,,
3/6 ,,10:05 ,10 : 10 ,5 ,I ,,
3/11 ,,10:44 ,10:50 ,le ,I ,,
3/11 ,,10:50 ,11:65 ,15 ,\ ,,
3/11 ,,H105 ,11:10 ,5 ,I ,,
3/11 ,,11:38 ,11:42 ,4 ,I ,,
3/11 ,,11:45 ,11:50 ,5 ,1 ,,
3/18 ,,10:20 ,10:35 ,15 ,1 ,,
3/18 ,,10:35 ,10:50 ,15 ,1 ,,
1/88 ,,10:50 ,11:05 ,15 ,\ ,,
3/18 ,,11:05 ,11:10 ,5 ,\ ,,
3/18 ,,1:37 ,1:40 ,3 ,\ ,,
3/18 ,,1:40 ,1:55 ,15 ,\ ,,
3/20 ,,10:52 ,11:00 ,8 ,I ,,
3/20 ,,11:01 ,11 16 ,15 ,/ ,,
3/20 ,,11 1 16 ,11:20 ,4 ,/ ,,
3/26 ,,8:55 ,9:05 ,10 ,\ ,,
3/27 ,,11:05 ,11:15 ,10 ,\ y bathrooms ,,
322 ,,11: 20 ,11:35 ,15 ,\ ,,
B128 ,,11:35 ,11:50 ,15 ,I ,,
13/28 ,,11:50 ,12:00 ,10 ,I ,,





