Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,
6/4 ,,10:35 ,10:40 ,5 ,I ,
6/6 ,,9:19 ,9:34 ,15 ,\ ,
616 ,,1:10 ,1:20 ,10 ,\ ,
617 ,,8:30 ,8:50 ,20 ,I Screaming ,
6/7 ,,12:50 ,1:00 ,10 ,\ ,
6/10 ,,9:15 ,9:30 ,IS ,\ ,
6/10 ,,9:35 ,9:45 ,10 ,) ,
6111 ,,8:00 ,8:20 ,20 ,i ,
10111 ,,10:30 ,10.50 ,20 ,I ,
ioll ,,11:00 ,11:20 ,20 ,i ,
all ,,11:30 ,11.50 ,20 ,I ,
bill ,,11:57 ,12:15 ,13 ,I ,
10111 ,,12.30 ,12:50 ,70 ,I ,
loill ,,1258 ,lite ,12 ,I ,
6111 ,,lis ,1:35 ,10 ,\ ,
(6/12 ,,9:10 ,9,25 ,15 ,i ,
10/12 ,,1:40 ,1:50 ,10 ,\ ,
b/13 ,,gils ,9130 ,15 ,1 ,
6/13 ,,lius ,1:50 ,5 ,I ,
6114 ,,:30 ,9:40 ,10 ,\ ,
6/14 ,,12.50 ,1:05 ,IS ,\ ,
6114 ,,1:10 ,1:30 ,20 ,\ ,
6117 ,,8,20 ,8:32 ,12 ,0 ,





