Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,
17/3/18 ,,liss ,2:05 ,10 ,I ,
12/5 ,,1:56 ,2:01 ,5 ,Iin sexual in appropriate ,
12/12/18 ,,8:55 ,9:00 ,5 ,0 Getting upset w/ studen ,
12/12/18 ,,1:15 ,1:30 ,IS ,/ Instigating ,
12/17/18 ,,8:40 ,8.55 ,15 ,0- - Very hyper. ,
12/17 ,,9:05 ,9:25 ,20 ,/ Pushing dear slappen ,
1017 ,,1:15 ,1:35 ,20 ,,
12/19 ,,9:30 ,9:40 ,10 ,i ,
12/19 ,,105 ,115 ,10 ,1 ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





