Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,
917 ,,9:30 ,9:us ,15 ,I ,
9110 ,,8:15 ,8:25 ,10 ,I ,
9110 ,,11:10 ,11:20 ,10 ,I ,
9110 ,,lails ,12:30 ,IS ,1 ,
9110 ,,1:21 ,1:30 ,a ,I ,
9112 ,,9:42 ,9:55 ,13 ,\ ,
9124 ,,8.50 ,9:00 ,10 ,1 yelling Penisilishing ,
9127 ,,10:40 ,10.55 ,IS ,i ,
9127 ,,11:30 ,11:40 ,10 ,I Trashed classroom mom cark ,
9128 ,,12:48 ,1:05 ,7 ,I Antagonizing ,
128 ,,1.50 ,2:05 ,is ,! ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





