Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
10/1 ,,8:59 ,9:09 ,10mins ,,
10/1 ,,9:11 ,9:18 ,Tmins ,X ,
10/1 ,,10:16 ,10:19 ,3mins ,,
101 , ,,11:36 ,11:40 ,4mins ,X ,
10/1 ,,12:27 ,12:42 ,15mins ,X V ,
101, ,,12:43 ,12:59 ,15mins ,X J. ,
10/1 ,,12:57 ,11:00 ,3mins ,X V ,
10/2 ,,8:52 ,9:07 ,1smin ,,
10/2 ,,9:07 ,9:17 ,10mins ,,
10/1 ,,9:17 ,9:27 ,10mins ,X ,
10/3 ,,9:19 ,9:22 ,3mins. ,X ,
10/17 ,,10:47 ,10.59 ,12mins ,Hit & Kicked ,
10/17 ,X ,10:59 ,11:09 ,10min ,X ,
10/21 ,X ,9:36 ,9:42 ,lemin ,X ,
10/21 ,X ,9:42 ,9:46 ,5min ,Kicking ,
10/21 ,X ,ID:38 ,10:41 ,3min ,,
ID/22 ,X ,2:30 ,2:33 ,3min ,,
10/17 ,X ,1:26 ,1:41 ,15min ,,
10/17 ,X ,1:41 ,1:51 ,10mins ,X Sciason, ,
10/17 ,X ,1:51 ,2:06 ,is min ,,
10/17 ,,2:06 ,2:21 ,15mins ,,
10/17 ,,2:21 ,2:29 ,8 mins ,X ,





