Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult Interaction needed) ,
1/7/19 ,,8:35 ,8:45 ,10 min ,1 ,
1/7/19 ,,9:30 ,9:45 ,15 ,\ ,
1/7/19 ,,9:45 ,10:00 ,15 ,1 ,
1/7/19 ,,10:00 ,10: 15 ,15 ,\ ,
1/7/19 ,,10:15 ,10:30 ,15 ,\ ,
1/7/19, ,,10:53 ,11:00 ,8 ,1. ,
1/7/19 ,,11:00 ,11:15 ,15 ,I ,
1/7/19 ,,11:15 ,11:25 ,10 ,I ,
1/7/19 ,,11:27 ,11:30 ,3 ,\ ,
1/7/19 ,,11:30 ,11:45 ,15 ,I ,
17/19 ,,11:45 ,11:50 ,5 ,I ,
1/7/19 ,,12:20 ,12:35 ,15 ,1 ,
1/7/19 ,,12.35 ,12:45 ,10 ,1 ,
1/8/19. ,,10:35 ,11:50 ,15 ,1 ,
1/8/19 ,,11:50 ,12:05 ,15 ,1 ,
1/8/19 ,,12:05 ,12:20 ,15 ,1 ,
1/8/19 ,,12:20 ,12:30 ,10 ,1 ,
1/9/19 ,,11:05 ,11:15 ,10 ,I ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





