Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult Interaction needed) ,
21 4 ,,8:57 ,9:07 ,10 ,\ ,
2/8 ,,9:07 ,9:10 ,3 ,1 ,
218 ,,9:10 ,9:25 ,15 ,1 ,
218 ,,9:25 ,9:40 ,15 ,1 ,
2/11 ,,11:45 ,12:00 ,15 ,\ ,
28/11 ,,12:00 ,12:05 ,5 ,I ,
2/11 ,,12:25 ,12:40 ,15 ,I ,
2/11 ,,12:40 ,12:55 ,15 ,\ ,
2/11 ,,12:55 ,12:10 ,15 ,\ ,
2111 ,,1:10 ,1:12 ,2 ,\ ,
75 ,,8:20 ,8:35 ,15 ,\ ,
2125 ,,8:35 ,8:50 ,15 ,\ ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





