Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult interaction needed) ,
9/13 ,,8:50 ,9:05 ,15 min ,1 ,
9/13 ,,9:05 ,9:20 ,15 min ,1 ,
9/13 ,,9:20 ,9:25 ,5 min ,1 ,
9/13 ,,10:30 ,10:45 ,15 min ,1 ,
9/13 ,,10:46 ,11:01 ,15 min ,1 ,
9/13 ,,11.18 ,11:30 ,12 min ,1 ,
9/14 ,,11:40 ,11:55 ,15 min ,1 ,
9/14 ,,11:55 ,12:15 ,15 min ,\ ,
9/14 ,,12:15 ,12:30 ,15 min ,1 ,
9/14 ,,12:30 ,12:40 ,10 min ,\ ,
9117 9/17 ,,7:35 ,7:45 ,10 min ,1 ,
9/19 ,,9:25 ,9:40 ,I 5min ,I ,
9/89. ,,9:55 ,10:10 ,15 min ,,
9/20 ,,12:55 ,12:50 ,015 ,/ ,
9/28 ,,1250 ,1:05 ,15 ,/ ,
afts ,,105 ,1:15 ,10 ,/ ,
9/24 ,,9:02 ,9:17 ,15. ,/ ,
9/21 ,,9.17 ,9:32 ,15 ,/ ,
4/24 ,,9:32 ,9:45 ,13 ,I ,
9/24 ,,9.55 ,10:10 ,15 ,/ ,
9/24 ,,10:10 ,10:20 ,10 ,) ,
9/24 ,,11:20 ,11:35 ,15 ,1 ,





