Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,
9/6/18 ,,10:31 ,10:45 ,14 min ,,
9/19/1 ,,12:07 ,12:17 ,10 min ,1 ,
9/10/19 ,,2:00 ,2:05 ,5 min ,1 ,
9/7/15 ,,8:00 ,8:10 ,10 min ,1 ,
9/7/18 ,,8:15 ,8:30 ,15min ,/ ,
9/7/18 ,,8:35 ,8:40 ,5 min ,I ,
9/7/18 ,,8.41 ,8:50 ,9min ,/ ,
9/7/18 ,,9:20 ,9:35 ,15min ,/ ,
9/7/18 ,,9:35 ,9:50 ,15 min ,/ ,
9/7/18 ,,9:50 ,10:00 ,10min ,/ ,
9/7/18 ,,10:25 ,10:35 ,15 mini ,/ ,
9/11/18 ,,7:50 ,7:55 ,5 min ,1 ,
9/11/18 ,,8:30 ,8:45 ,15 min ,I ,
9/11/18 ,,8:45 ,8:50 ,5 min ,\ ,
9/11/18 ,,10:00 ,10:15 ,15 min ,/ ,
9/12/189 ,,1045 ,11:00 ,15 Min ,/ ,
9/13/18 ,,8.41 ,8:50 ,9 min ,1 ,
9/19/ ,,9:27 ,9:35 ,8 min ,1 ,
9/13/18 ,,9:36 ,9:46 ,10 min ,1 ,
9/14/18 ,,110 ,1:22 ,12min ,/ ,
9/17/18 ,,8:55 ,9:00 ,5 min ,I ,
9/17/18 ,,9:40 ,9:45 ,5 min. ,I ,





