Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult Interaction needed) ,
9/24 ,,11:35 ,11:50 ,15 min ,,
9124 ,,11:50 ,12:05 ,15 min ,1 ,
9124 ,,12:05 ,12:20 ,15 min ,I ,
9/24 ,,12:20 ,12:35 ,15 min ,1 ,
9 127 ,,8:15 ,8:20 ,5 min ,\ ,
9 / 27 ,,8:25 ,8:40 ,15 min ,1 ,
9/27 ,,8:45 ,9:00 ,15 min ,1 ,
9127 ,,9:00 ,9:15 ,15 min ,1 ,
9/27 ,,10:38 ,10:50 ,12 min ,1 ,
9/27 ,,12:40 ,12:55 ,15 min ,1 ,
9/27 ,,12:55 ,1:00 ,5 min ,1 ,
9/27 ,,1:10 ,1:25 ,15 min ,1 ,
9 / 27 /  ,,1:25 ,1:35 ,10 min ,\ ,
9/27 ,,1:52 ,2:00 ,8 min ,1 ,
9/ 200 ,,11:00 ,11:15 ,15 min ,1 ,
9/28 ,,11:45 ,12:00 ,15 min ,\ ,
91 28 ,,12:00 ,12:15 ,15 min ,1 ,
91 28 ,,12:15 ,12:25 ,10 min ,1 ,
9/28 ,,12:25 ,12:30 ,5 min ,1 ,
,,,,,,
,,,,,,
,,,,,,





