Table: Table_1

L Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult Interaction needed) ,
4/4 ,,2:10 ,2:25 ,15 ,/ ,
4/5 ,,8:00 ,8:15 ,15 ,/ ,
4/5 ,,8:15 ,8:25 ,10 ,I ,
4/5 ,,9:45 ,9:55 ,10min ,1 ,
415 ,,10:25 ,10:40 ,15 ,I ,
4/5 ,,10:55 ,11:10 ,15. ,! ,
4/5 ,,11:10 ,11:25 ,15 ,1 ,
4/5 ,,11:25 ,11:40 ,15 . ,1 ,
415 ,,11:40 ,1150 ,10 ,\ ,
4115 ,,11:05 ,11:20 ,15. ,1 ,
Ly/5 ,,11:20 ,11:35 ,15 ,I ,
4/15 ,,2:05 ,2:20 ,15 ,/ ,
4/15 ,,2:20 ,2:35 ,15 ,( ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





