Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
11/1 ,,8:41 ,8:45 ,4min ,closed ,
11/1 ,,8:45 ,8:57 ,12min ,open ,
"/3 ,,9:27 ,9:30 ,3min ,open ,
"18 ,,12:00 ,12:02 ,2min ,open ,
11/21 ,,8: 49 ,8:52 ,3min ,open ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





