Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult Interaction needed) ,
12/17 ,,9:03 ,9:10 ,7 ,/ ,
12/17 ,,10:38 ,10:44 ,6 ,I ,
12/17 ,,11:12 ,11:19 ,7 ,\ ,
12/20 ,,8:05 ,8:15 ,10 min ,I ,
12/20 ,,8:15 ,8:30 ,15 min ,\ ,
12/20 ,,8:40 ,8:52 ,12 min ,\ ,
12/21 ,,9:45 ,9:52 ,7 min ,\ ,
12/21 ,,10:00 ,10:03. ,3 min ,J ,
12/21 ,,10:46 ,,,1 ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





