Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult Interaction needed) ,
2/5/19 ,,9:37 ,9:40 ,3 ,I ,
2/5/19 ,,9:40 ,9:55 ,15 ,I ,
2/5/19 ,,9:55 ,10:10 ,15 ,\ ,
2/5/19 ,,10.10 ,10:15 ,5 ,) ,
2/5/19 ,,10:17 ,10:20 ,3 ,\ ,
2/5/19 ,,10:20 ,10:35 ,15 ,\ ,
2/5/19 ,,10.35 ,10:50 ,15 ,\ ,
2/5/19 ,,10:50 ,11:05 ,15 ,\ ,
2/14/19 ,,11:40 ,11:55 ,15 ,1 ,
2/14/19 ,,11:55 ,12:05 ,10 ,1 ,
to ,,9:37 ,9:40 ,3 ,I ,
1/15/19 ,,9.40 ,9:55 ,15 ,i ,
2/15/19 ,,9:55 ,10:05 ,15 ,1 ,
2/26/198 ,,11:15 ,11:25 ,10 ,\ ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





