Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation, / with door open will be recorded separately, per student plans). ,
10/1 ,,1120 ,1145 ,25 ,,
10/ 2 ,,9:15 ,9:45 ,30 ,aslep ,
10/ 2 ,,9:45 ,10:15 ,30 ,,
10/2 ,,10.15 ,10:45 ,30 ,,
10/2 ,,10:45 ,11.15 ,30 ,woke 11:30 backasterpilis ,
10/15 ,,1030 ,11:00 ,30 ,,
10/22 ,,21 10:80 ,10:31 ,10 ,,
10/22 ,,0 : 42 ,12:00 ,18 ,,
10/24 ,,1243 ,1245 ,2" ,,
10/25 ,,10:15 ,10:30 ,15 ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





