Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) student ,
12/7/18 ,,10:10 ,10:20 ,10 mins ,-kicked Needed reset ,
12/10/18 ,,12:40 ,12:46 ,6 mins ,0 - Reset ,
12/13/18 ,,9:30 ,9135 ,5 ,O Reset. ,
,,10:15 ,10:30 ,is ,Keset o-grendoor ,
02.18 ,,9:30 ,9:37 ,,,
12/19 ,,10:30 ,10.39 ,a ,/ ,
12/19 ,,1:25 ,1:40 ,IS ,I ,
12/20 ,,8:40 ,8:VS ,5 ,Reset ,
12/20 ,,9:30 ,9:35 ,5 ,PReset. ,
12/10 ,,10:45 ,11:00 ,15 ,,
12/20 ,,12:30 ,12:40 ,10 ,,
12/20 ,,1110 ,1:20 ,10 ,0 ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





