Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult Interaction needed) ,
9-28 ,,8:31 ,8:46 ,15 ,/ ,
9-28 ,,9:07 ,9:22 ,15 ,I ,
9-28 ,,9:22 ,9:30 ,8 ,,
9-28 ,,9:32 ,9:47 ,15 ,I ,
9-28 ,,9:47 ,10:02 ,15 ,I ,
9-28 ,,10:02 ,10:07 ,5 ,O ,
9-28 ,,10:30 ,10:45 ,15 ,I ,
9-28 ,,10:45 ,10:50 ,5 ,D ,
9-29 ,,9:42 ,9:51 ,9 ,I ,
9-30 ,,11:08 ,11:17 ,9 ,\ ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





