Table: Table_1

Date ,Student ,Staff ,Time In ,Time out ,Total time ,Door open/closed ,
1019-18 ,,,1:15 ,1:30 ,15mm ,Closed ,
10/22/18 ,,,2.14 ,8.34 ,20mi ,closed ,
io-31 ,,,17:45 ,8:70 ,25 ,Closed ,
10/3 ,,,8:40 ,8 :50 ,10 ,Closed ,
10/31 ,,,9:24 ,9:31 ,7 ,(losed ,
10/31 ,,,9:36 ,9:40 ,4 ,closed ,
10131 ,,,9:40 ,10:00 ,20min ,open ,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,





