Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door apen will be recorded separately, per student plans). ,
11/8 ,,1:38 ,1:43 ,5 mins. ,Closed ,
11/8 ,,1:50 ,1:55 ,5mins ,closed / extremely ,
11/8 ,,1:55 ,2:10 ,15mins ,closed ,
11/8 ,,2:15 ,2 :23 ,8 mins ,Closed ,
11/12 ,,8.38 ,8:53 ,15mins ,closed ,
11/12 ,,8:54 ,8:09 ,5min ,closed ,
"112 ,,10:43 ,10:55 ,12 mins ,closed ,
11/12 ,,11:02 ,11:12 ,8mins ,Closed ,
11/12 ,,11:19 ,11:28 ,9 mins ,closed ,
11/12 ,,11:38 ,11:53 ,15mins ,closed ,
,,11:54 ,12:04 ,10min ,open ,
"//n ,,12:04 ,12:17 ,13min ,open ,
"14 ,,8:47 ,8:50 ,3 mins ,open ,
11/15 ,,12:26 ,12:27 ,1min ,closed ,
"15 ,,12:27 ,12:30 ,3 min ,open ,
11/15 ,,12:30 ,12:34 ,4 min ,closed ,
1/15 ,,12:36 ,12:40 ,4 min ,Closed ,
1/15 ,,12:40 ,12:50 ,10 mins ,open ,
"1/21 ,,9:25 ,9:28 ,3 mins ,open ,
"/21 ,,9:52 ,9:55 ,3mins ,open ,
11/22 ,,8:50 ,8:55 ,5mins ,closed ,
1/22 ,,8:55 ,8:59 ,4min ,open ,





