Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
5/2/19 ,,1:45 ,2:05 ,20 : 00 ,X ,
5/3/17 ,X ,8.52 ,9:07 ,Ismins ,V ,
5/3/11 ,,0:07 ,9:22 ,Ismins ,,
5/3/19 ,,9:22 ,9:37 ,15mins ,,
5/3/19 ,X ,9:37 ,9:52 ,15mins ,,
5/3/19 ,,9:52 ,10:07 ,15min ,,
5/3/19 ,,10:07 ,10:22 ,15min 5 ,,
5/7/11 ,,11:05 ,11:19 ,4mins ,,
5/19/19 ,,12:15 ,12:32 ,17 mins ,,
5/19/19 ,,12:37 ,12:45 ,8mins ,i ,
5/10/19 ,,12:47 ,12:50 ,3mins ,,
5/10/18 ,,12:55 ,1310 ,15mins ,,
5/10/19 ,,1:10 ,1:15 ,Smins ,,
5/10/1 ,,1:11 ,1:23 ,12mins ,X ,
5/10/1 ,,1127 ,1:45 ,18mins ,X ,
5/10/19 ,X ,1:46 ,2:03 ,llmins ,X ,
5/10/19 ,X ,2:04 ,2:12 ,8mins ,,
5/13/19 ,,8:40 ,9:00 ,a 20mins ,,
5/13/19 ,,11:08 ,11:21 ,13mins ,,
MAR ,,NORTH ,,,,
5/13/19 ,,9:03 ,9:15 ,Kmin ,,
5/15/11 ,,10:11 ,10: 17 ,lemin ,V ,





