Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation, / with door open will be recorded separately, per student plans). ,
10/21 ,,11:17 ,11:27 ,10mins ,,
10/21 ,,11:27 ,11:38 ,llmins ,,
10/21 ,,2:07 ,2:22 ,15 miss ,,
10/21 ,,2:22 ,2:28 ,lemins ,,
10/23 ,,8:49 ,8:54 ,5min ,X ,
10/23 ,,9:15 ,9:18 ,3min ,X ,
10/23 ,X ,9:23 ,9:30 ,7min ,X ,
10/23 ,X ,10:10 ,10:15 ,5min ,X unsafe ,
10/23 ,,11:28 ,11:31 ,3min ,,
10/23 ,,11:41 ,11:46 ,5min ,V closed ,
1//24 ,,8:42 ,8:49 ,Tmin ,I closed ,
10/24 ,,8:50 ,8:52 ,2.min ,closed ,
10/24 ,,9:00 ,9:15 ,15min ,Closed ,
10/24 ,,9:15 ,9:25 ,10min ,open ,
10/24 ,,11:04 ,11:19 ,15min ,open ,
10/24 ,,12:15 ,12:18 ,3min ,open ,
10/24 ,,12:30 ,12:33 ,3min ,open ,
10/24 ,,1:48 ,1.57 ,amin ,closed ,
10/25 ,,10:28 ,10:43 ,15min ,closed ,
10/25 ,,10:45 ,11:00 ,15min ,closed ,
10/25 ,,11:00 ,11:15 ,15 min ,closed ,
10/25 ,,11:15 ,11 - 20 ,5min ,Open ,





