Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult Interaction needed) ,
11/1/19 ,,2:15 ,2:30 ,15 min ,1 ,
11/1/19 ,,2:30 ,2:45 ,15 min ,1 ,
11/4/19 ,,9:35 ,9:50 ,15 min ,1 ,
11/4/19 ,,9:50 ,10:05 ,15 min ,,
11/11/19 11/4/19 ,,10:05 ,10:10 ,5 min ,1 ,
1/8/19 ,,2:25 ,2:37 ,12 mis ,1 ,
1/12/19 ,,8445 ,9:00 ,15 min ,/ ,
1/12/19 ,,9:00 ,9:15 ,15 min ,I ,
1.1.19 ,,9:15 ,9:30 ,15 min ,I ,
/12/19 ,,9:30 ,9:45 ,15 min ,\ ,
/12/19 ,,9:45 , ,9:47 ,15min ,1 12 ,
/13/19 ,,2:15 ,2:30 ,15 min ,I to ,
1/20/19 ,,8:50 ,9:05 ,10 min ,I ,
1/21/19 ,,8:08 ,8:23 ,15 min ,/ ,
1/21/19 ,,8:23 ,8:30 ,7 min ,1 ,
1/21/19 ,,8:32 ,8:35 ,3min ,1 ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





