Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,
5/1/19 ,,1:21 ,1:41 ,20 ,I ,
5/3/19 ,,10.50 ,11:10 ,20 ,O ,
5/16/19 ,,9:45 ,10:00 ,15 ,O ,
5/7/19 ,,10:25 ,10:35 ,10 ,I ,
5/7/19 ,,12:30 ,12:45 ,15 ,/ ,
0/8/19 ,,11:30 ,11:45 ,19 ,1. ,
5/8/19 ,,12:40 ,12:50 ,10 ,,
511011 10 ,,11:00 ,11.15 ,15 ,I ,
Sindig ,,Mils ,220 ,5 ,) ,
5/12 ,,845 ,0:00 ,is ,I ,
5113 ,,9:30 ,9:45 ,is, ,,
5113 ,,IND ,11.20 ,is ,,
5113 ,,19:45 ,ASU ,,0 ,
3 ,,1115 ,1.60 ,,I ,
500 ,,12:30 ,1244 ,14 ,0 ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





