Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult Interaction needed) ,
2/5 ,,11:50 ,1205 ,15 ,,
2/5 ,,12:05 ,12:20 ,15 ,/ ,
215 ,,12:20 ,12 35 ,15 ,/ ,
2/5 ,,12:35 ,12:40 ,5 ,/ ,
2/15 ,,11:25 ,11:40 ,15 ,I ,
2115 ,,11:40 ,1155 ,15 ,1 ,
2/15 ,,11:55 ,12:00 ,5 ,) ,
215 ,,12:20 ,1232 ,15 ,I ,
2115 ,,12:35 ,12:40 ,5 ,/ ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





