Table: Table_1

2019-2020 ,10/15/19 10:49 AM ,Unsafe behavior. Support called,escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/15/19 1:45 PM ,Student not following directions. Being aggressive towards staff. Support called. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/16/19 11:17 AM ,Became aggressive towards staff. Small child. Support, admin and nurse were called. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/16/19 12:33 PM ,Student being non compliant, refusing to go back to class after library. Became aggressive towards staff. Small child-support called. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/16/19 1:50 PM ,Student had a rough time. Aggressive towards staff. Support called, escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/16/19 2:13 PM ,Unsafe behavior in time out, hitting head against the wall refusing to put harness on for dismissal. Small child, support called. Walked to bus. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/29/19 10:36 AM ,Refused direction. Eloped. Unsafe behavior. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/1/19 8:20 AM ,Student refuses to be searched by security and admin. He started kicking and being aggressive. Support staff was there and escorted by them to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/1/19 8:40 AM ,Unsafe behavior in the timeout room. Small child used. Nurse and admin were called. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/21/19 9:05 AM ,Eloped from class. Kicked staff. Hold used by support. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/22/19 9:35 AM ,Eloped, ran hit and bite staff. Staff did wrap. Ran to timeout when support arrived. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/22/19 11:55 AM ,Eloped from lunch. Aggressive toward staff. Student escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/5/19 2:05 PM ,Eloped and threw a pencil at staff. Unsafe in hall. Hold used. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/10/19 9:46 AM ,Hard time following directions. Eloped to the fishbowl. Unsafe choices. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/11/19 9:52 AM ,Eloped from class. Unsafe in fishbowl. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/12/19 12:35 PM ,Student having hard time following directions Eloped, unsafe choices in fish bowl Escorted to TO b support staff ,Intervention: Time Out (minutes) ,





