Table: Table_1

2019-2020 ,8/9/19 1:22 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/9/19 1:55 PM ,Student was physically aggressive towards staff and was displaying unsafe behavior by running into the parking lot. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/10/19 1:06 PM ,Student displayed unsafe behavior by eloping from class and becoming physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/10/19 1:50 PM ,Student was physically and verbally aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/11/19 12:28 PM ,Student was physically aggressive towards staff and tried to elope and run outside without staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/17/19 2:08 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/15/19 1:55 PM ,Student was physically aggressive towards staff and was eloping. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/10/20 12:06 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/9/19 1:30 PM ,Student was physically aggressive towards staff and was disrobing. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/11/19 10:05 AM ,Student was disrobing and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/25/19 10:07 AM ,Student was running and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/17/19 1:37 PM ,Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/13/19 12:03 PM ,Student was physically aggressive towards staff and was destroying school property. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/13/20 12:17 PM ,Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/25/19 12:00 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/4/19 2:11 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/18/19 1:35 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/16/19 12:00 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/16/19 12:57 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/22/20 1:25 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/23/20 10:18 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/28/20 11:50 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/31/20 1:57 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/10/20 9:53 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/13/20 9:50 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/13/20 10:22 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,3/11/20 9:46 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,





