Table: Table_1

2018-2019 ,7/19/18 12:57 PM ,hitting, swinging, screaming, punching, grabbing and running and charging staff ,Intervention: Time Out (minutes) ,
2018-2019 ,7/25/18 1:23 PM ,Student displayed unsafe behavior by leaving school grounds and was aggressive with staff. Student was hitting with a lanyard and pushing. ,Intervention: Time Out (minutes) ,
2018-2019 ,9/11/18 10:40 AM ,Student was destroying property, harming himself, throwing objects, hitting and spitting at staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/9/18 9:54 AM ,Student was hitting, pushing, licking, pulling hair, stealing and kicking. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/9/18 9:54 AM ,Student was physically and verbally aggressive. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/6/19 12:48 PM ,Student was throwing things, eating food that was not his, hitting and kicking. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/5/18 11:11 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,7/9/18 9:00 AM ,kicking, biting, screaming, scratching and urinating ,Intervention: Time Out (minutes) ,
2018-2019 ,7/16/18 8:57 AM ,Student was laying on the hot pavement and became aggressive towards staff when they tried to get him up. ,Intervention: Time Out (minutes) ,
2018-2019 ,7/20/18 10:48 AM ,throwing items, biting and kicking ,Intervention: Time Out (minutes) ,
2018-2019 ,8/8/18 9:30 AM ,Student was hitting, biting, kicking, pinching and scratching. ,Intervention: Time Out (minutes) ,
2018-2019 ,8/14/18 10:26 AM ,Student was hitting and trying to bite staff ,Intervention: Time Out (minutes) ,
2018-2019 ,9/6/18 1:21 PM ,Student was pinching, biting, hitting and throwing objects. ,Intervention: Time Out (minutes) ,
2018-2019 ,9/6/18 1:40 PM ,Student was hitting, biting and scratching. ,Intervention: Time Out (minutes) ,
2018-2019 ,9/7/18 10:45 AM ,Student was biting, hitting and kicking. ,Intervention: Time Out (minutes) ,
2018-2019 ,9/10/18 9:20 AM ,Student was hitting, kicking and biting. ,Intervention: Time Out (minutes) ,
2018-2019 ,9/12/18 10:35 AM ,Student was pinching, hitting and biting. ,Intervention: Time Out (minutes) ,
2018-2019 ,9/12/18 11:18 AM ,Student was biting, hitting and kicking. ,Intervention: Time Out (minutes) ,
2018-2019 ,9/14/18 11:00 AM ,Student was biting, hitting and scratching. ,Intervention: Time Out (minutes) ,
2018-2019 ,9/17/18 12:15 PM ,Student was biting, hitting and kicking. ,Intervention: Time Out (minutes) ,
2018-2019 ,9/18/18 10:26 AM ,Student was biting, hitting and pinching. ,Intervention: Time Out (minutes) ,
,,Student displayed aggressive behavior by attacking staff and students, ,,
2018-2019 ,10/10/18 9:40 AM ,throwing objects and biting and hitting. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/10/18 10:08 AM ,Student was attacking CI's, hitting, biting, and kicking. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/11/18 9:24 AM ,Student was biting, hitting and kicking. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/15/18 2:30 PM ,Student was trying to push a desk over while another student was still in it and also kicking. ,Intervention: Time Out (minutes) ,





