Table: Table_1

2018-2019 ,10/3/18 8:25 AM ,Staff overheard him saying inappropriate things, " I'm a murderer", I'm gonna piss all over you." Staff asked him to stop. He denied saying them, began screaming. Staff asked him to leave room, he refused. Support called. He lunged at staff said he was going to kill her, grabbed her, kicked her leg. Escorted to time out. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/10/18 9:20 AM ,was upset that he had no money for book fair. He accused another student of saying something nasty. He screamed and yelled at that student. Was asked to leave the class, refused several times. Waved his fist at the teacher. Support escorted to time out. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/17/18 1:35 PM ,was glaring at a student and got verbally aggressive. When asked to leave class, he refused. Support called. He was swearing and threatened to hit Called a student the "n" word. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/1/18 12:00 PM ,got to class agitated. Swearing under his breath in home and careers. He became very upset. He refused to leave became verbally abusive towards staff. He threatened to kill staff. Support escorted to time out. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/26/18 12:30 PM ,Skills streaming- verbally inappropriate, disruptive and used the talking piece - a soft ball inappropriately rubbing under his shirt. Another student made a comment and he was verbally aggressive and threatened him. When asked to leave to alternate location, he refused. He threw a head set Escorted to time out. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/29/18 8:30 AM ,Verbally defiant when asked to join group. Swearing at staff. He was asked to leave class by the teacher. He threw a pencil at her, swearing at her. Escorted to time out. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/30/18 12:20 PM ,was agitated by another student. turned around and glared at her over and over. He became verbally abusive. Began swearing at other students. When asked to leave he refused. Support arrived, escorted to timeout. ,Intervention: Time Out (minutes) ,





